Site,Good,Bad,State,Bad Tags
albert/pad;ALBERT_KKW_BL,69,1,Close,
albert/wells/well_1;ALBERT_W_KKW_BL_2H,42,5,Needs work,
albert/wells/well_2;ALBERT_SW_KKW_BL_4H,37,14,Needs work,
albert/wells/well_3;ALBERT_S_KKW_BL_6H,35,16,Needs work,
albert/wells/well_4;ALBERT_SE_KKW_BL_8H,34,15,Needs work,
albert/wells/well_5;ALBERT_E_KKW_BL_10H,25,30,Needs work,
Pad Total (albert):353
albright/pad;ALBRIGHT,12,24,Needs work,
albright/wells/well_1;ALBRIGHT_UNIT_2H,18,3,Close,
albright/wells/well_2;ALBRIGHT_UNIT_6H,18,3,Close,
albright/wells/well_3;ALBRIGHT_UNIT_4H,17,4,Close,
Pad Total (albright):99
amber/pad;AMBER_WEL_JF,45,11,Needs work,
amber/wells/well_1;AMBER_NW_WEL_JF_1H,34,13,Needs work,
amber/wells/well_2;AMBER_SW_WEL_JF_2H,30,25,Needs work,
amber/wells/well_3;AMBER_NE_WEL_JF_3H,30,17,Needs work,
amber/wells/well_4;AMBER_SE_WEL_JF_4H,32,15,Needs work,
Pad Total (amber):272
archer_a/pad;ABLE_ARC_HR,40,8,Needs work,
archer_a/wells/well_1;ABLE_ARC_HR_1H,11,0,Perfect!,
archer_a/wells/well_2;ABLE_ARC_HR_3H,11,0,Perfect!,
archer_a/wells/well_3;ABLE_ARC_HR_5H,11,0,Perfect!,
archer_a/wells/well_4;ABLE_ARC_HR_7H,11,0,Perfect!,
Pad Total (archer_a):92
archie/pad;ARCHIE_WYN_JF,56,24,Needs work,
archie/wells/well_1;ARCHIE_W_WYN_JF_2H,16,8,Needs work,
archie/wells/well_2;ARCHIE_W_WYN_JF_4H,17,8,Needs work,
archie/wells/well_3;ARCHIE_E_WYN_JF_6H,17,8,Needs work,
archie/wells/well_4;ARCHIE_E_WYN_JF_8H,12,14,Needs work,
Pad Total (archie):180
ast/pad;None,0,0,Unable to Process!
Pad Total (ast):0
athena/pad;ATHENA_SMF_JF,50,0,Perfect!,
athena/wells/well_1;ATHENA_NW_SMF_JF_1H,33,2,Close,
athena/wells/well_2;ATHENA_N_SMF_JF_3H,30,5,Needs work,
athena/wells/well_3;ATHENA_NE_SMF_JF_5H,30,5,Needs work,
athena/wells/well_4;ATHENA_NE_SMF_JF_7H,31,5,Needs work,
Pad Total (athena):211
athens_a/pad;ALPHA_ATH_HR,42,11,Needs work,
athens_a/wells/well_1;ALPHA_ATH_HR_2H,16,0,Perfect!,
athens_a/wells/well_2;ALPHA_ATH_HR_4H,16,0,Perfect!,
athens_a/wells/well_3;ALPHA_ATH_HR_6H,16,0,Perfect!,
Pad Total (athens_a):101
athens_b/pad;BRAVO_ATH_HR,34,9,Needs work,
athens_b/wells/well_1;BRAVO_ATH_HR_1H,19,0,Perfect!,
athens_b/wells/well_2;BRAVO_ATH_HR_3H,19,0,Perfect!,
athens_b/wells/well_3;BRAVO_ATH_HR_5H,19,0,Perfect!,
athens_b/wells/well_4;BRAVO_ATH_HR_7H,18,0,Perfect!,
Pad Total (athens_b):118
athens_c/pad;CHARLEY_ATH_HR,36,13,Needs work,
athens_c/wells/well_1;CHARLEY_ATH_HR_2H,18,1,Close,
athens_c/wells/well_2;CHARLEY_ATH_HR_4H,15,4,Close,
athens_c/wells/well_3;CHARLEY_ATH_HR_6H,19,0,Perfect!,
athens_c/wells/well_4;CHARLEY_ATH_HR_8H,22,5,Needs work,
athens_c/wells/well_5;CHARLEY_ATH_HR_10H,19,0,Perfect!,
athens_c/wells/well_6;CHARLEY_ATH_HR_12H,11,1,Close,
Pad Total (athens_c):164
athens_e/pad;ECHO_ATH_HR,35,16,Needs work,
athens_e/wells/well_1;ECHO_ATH_HR_1H,19,0,Perfect!,
athens_e/wells/well_2;ECHO_ATH_HR_3H,19,0,Perfect!,
athens_e/wells/well_3;ECHO_ATH_HR_5H,19,0,Perfect!,
athens_e/wells/well_4;ECHO_ATH_HR_7H,19,0,Perfect!,
athens_e/wells/well_5;ECHO_ATH_HR_9H,19,0,Perfect!,
athens_e/wells/well_6;ECHO_S_ATH_HR_8H,55,0,Unable to Process!
athens_e/wells/well_7;ECHO_S_ATH_HR_6H,56,0,Unable to Process!
Pad Total (athens_e):257
athens_f/pad;FOXTROT_ATH_HR,31,1,Close,
athens_f/wells/well_1;FOXTROT_ATH_HR_1H,13,0,Perfect!,
athens_f/wells/well_2;FOXTROT_ATH_HR_3H,13,0,Perfect!,
athens_f/wells/well_3;FOXTROT_ATH_HR_5H,13,0,Perfect!,
athens_f/wells/well_4;FOXTROT_ATH_HR_7H,13,0,Perfect!,
athens_f/wells/well_5;FOXTROT_ATH_HR_9H,13,0,Perfect!,
Pad Total (athens_f):97
atlas/pad;ATLAS_WEL_JF,61,0,Perfect!,
atlas/wells/well_1;ATLAS_NE_WEL_JF_9H,29,3,Close,
atlas/wells/well_2;ATLAS_NE_WEL_JF_7H,28,7,Needs work,
atlas/wells/well_3;ATLAS_N_WEL_JF_5H,28,8,Needs work,
atlas/wells/well_4;ATLAS_NW_WEL_JF_3H,28,8,Needs work,
atlas/wells/well_5;ATLAS_NW_WEL_JF_1H,28,8,Needs work,
Pad Total (atlas):261
bakos/pad;BAKOS_CLR_BL,50,5,Needs work,
bakos/wells/well_1;BAKOS_NE_CLR_BL_9H,11,24,Needs work,
bakos/wells/well_2;BAKOS_SE_CLR_BL_8H,14,20,Needs work,
bakos/wells/well_3;BAKOS_SW_CLR_BL_2H,11,24,Needs work,
bakos/wells/well_4;BAKOS_SE_CLR_BL_10H,12,23,Needs work,
bakos/wells/well_5;BAKOS_S_CLR_BL_6H,12,22,Needs work,
bakos/wells/well_6;BAKOS_S_CLR_BL_4H,10,24,Needs work,
Pad Total (bakos):292
banjo/pad;BANJO_SHC_HR,63,7,Needs work,
banjo/wells/well_1;BANJO_E_SHC_HR_6H,30,8,Needs work,
banjo/wells/well_2;BANJO_E_SHC_HR_4H,20,16,Needs work,
banjo/wells/well_3;BANJO_W_SHC_HR_2H,20,16,Needs work,
Pad Total (banjo):199
bannock/pad;BANNOCK_UNN_BL,62,29,Needs work,
bannock/wells/well_1;BANNOCK_UNN_BL_2H,12,17,Needs work,
bannock/wells/well_2;BANNOCK_UNN_BL_4H,10,19,Needs work,
bannock/wells/well_3;BANNOCK_N_UNN_BL_1H,18,43,Needs work,
