Site,Good,Bad,Completion,Bad Tags
81 albert/pad;ALBERT_KKW_BL,79,18,Needs work,ALBERT_KKW_BL/AirCompressor_1/AIR_CURRENT_DAY(98.6:9);ALBERT_KKW_BL/AirCompressor_1/AIR_PREVIOUS_DAY(98.7:9);ALBERT_KKW_BL/AirCompressor_1/MINUTES_ON_TODAY(71.7:0);ALBERT_KKW_BL/AirCompressor_1/RATE(98.1:9);ALBERT_KKW_BL/AirCompressor_1/TEMPERATURE(98.30:25);ALBERT_KKW_BL/TankOil_1/PRESSURE(85.126:114);ALBERT_KKW_BL/TankOil_1/TEMPERATURE(98.3:11);ALBERT_KKW_BL/TankOil_1/VOLUME_TOTAL(196.32:6);ALBERT_KKW_BL/TankOil_2/PRESSURE(85.126:115);ALBERT_KKW_BL/TankOil_2/TEMPERATURE(98.3:12);ALBERT_KKW_BL/TankOil_2/VOLUME_TOTAL(196.32:7);ALBERT_KKW_BL/TankWater_1/TEMPERATURE(98.3:20);ALBERT_KKW_BL/TankWater_1/VOLUME_TOTAL(196.32:0);ALBERT_KKW_BL/TankWater_2/TEMPERATURE(98.3:21);ALBERT_KKW_BL/TankWater_2/VOLUME_TOTAL(196.32:1);ALBERT_KKW_BL/Compressor_1/LEL_STATUS(101.3:77);ALBERT_KKW_BL/PadIO_1/PRESSURE_SALES(103.21:74);ALBERT_KKW_BL/PadIO_1/STATUS_BYPASS(71.43:30)
81 albert/wells/well_1;ALBERT_W_KKW_BL_2H,51,8,Needs work,ALBERT_W_KKW_BL_2H/MeterGas_1/SPECIFIC_GRAVITY(112.23:0);ALBERT_W_KKW_BL_2H/WellIO_1/PERCENTAGE_CURRENT_B(103.21:192);ALBERT_W_KKW_BL_2H/WellIO_1/PRESSURE_FLOWLINE_B(103.21:80);ALBERT_W_KKW_BL_2H/WellIO_1/TOTAL_ACCUMULATED(98.10:0);ALBERT_W_KKW_BL_2H/WellIO_1/TOTAL_MONTH(98.8:0);ALBERT_W_KKW_BL_2H/WellIO_1/TOTAL_PREVIOUS_MONTH(98.9:0);ALBERT_W_KKW_BL_2H/WellheadChoke/PERCENTAGE_CURRENT_B(103.21:192);ALBERT_W_KKW_BL_2H/WellheadChoke_1/PERCENTAGE_CURRENT_B(103.21:192)
81 albert/wells/well_2;ALBERT_SW_KKW_BL_4H,48,11,Needs work,ALBERT_SW_KKW_BL_4H/MeterGas_1/AVERAGE_PREVIOUS_DAY_TEMPERATURE(126.6:4);ALBERT_SW_KKW_BL_4H/MeterGas_1/SPECIFIC_GRAVITY(112.23:1);ALBERT_SW_KKW_BL_4H/MeterOil_1/DUMP_OFF_TIME(71.19:8);ALBERT_SW_KKW_BL_4H/MeterOil_1/DUMP_ON_TIME(71.7:8);ALBERT_SW_KKW_BL_4H/WellIO_1/PERCENTAGE_CURRENT_B(103.21:193);ALBERT_SW_KKW_BL_4H/WellIO_1/PRESSURE_FLOWLINE_B(103.21:81);ALBERT_SW_KKW_BL_4H/WellIO_1/TOTAL_ACCUMULATED(98.10:1);ALBERT_SW_KKW_BL_4H/WellIO_1/TOTAL_MONTH(98.8:1);ALBERT_SW_KKW_BL_4H/WellIO_1/TOTAL_PREVIOUS_MONTH(98.9:1);ALBERT_SW_KKW_BL_4H/WellheadChoke/PERCENTAGE_CURRENT_B(103.21:193);ALBERT_SW_KKW_BL_4H/WellheadChoke_1/PERCENTAGE_CURRENT_B(103.21:193)
81 albert/wells/well_3;ALBERT_S_KKW_BL_6H,44,15,Needs work,ALBERT_S_KKW_BL_6H/MeterGas_1/AVERAGE_PREVIOUS_DAY_PRESSURE_STATIC(126.6:4);ALBERT_S_KKW_BL_6H/MeterGas_1/AVERAGE_PREVIOUS_DAY_TEMPERATURE(126.6:5);ALBERT_S_KKW_BL_6H/MeterGas_1/BTU_FACTOR(112.22:2);ALBERT_S_KKW_BL_6H/MeterGas_1/SPECIFIC_GRAVITY(112.23:2);ALBERT_S_KKW_BL_6H/MeterOil_1/DUMP_CURRENT_DAY(98.10:20);ALBERT_S_KKW_BL_6H/MeterOil_1/DUMP_OFF_TIME(71.19:9);ALBERT_S_KKW_BL_6H/MeterOil_1/DUMP_ON_TIME(71.7:9);ALBERT_S_KKW_BL_6H/MeterOil_1/DUMP_PREVIOUS_DAY(98.11:20);ALBERT_S_KKW_BL_6H/WellIO_1/PERCENTAGE_CURRENT_B(103.21:194);ALBERT_S_KKW_BL_6H/WellIO_1/PRESSURE_FLOWLINE_B(103.21:82);ALBERT_S_KKW_BL_6H/WellIO_1/TOTAL_ACCUMULATED(98.10:2);ALBERT_S_KKW_BL_6H/WellIO_1/TOTAL_MONTH(98.8:2);ALBERT_S_KKW_BL_6H/WellIO_1/TOTAL_PREVIOUS_MONTH(98.9:2);ALBERT_S_KKW_BL_6H/WellheadChoke/PERCENTAGE_CURRENT_B(103.21:194);ALBERT_S_KKW_BL_6H/WellheadChoke_1/PERCENTAGE_CURRENT_B(103.21:194)
81 albert/wells/well_4;ALBERT_SE_KKW_BL_8H,40,9,Needs work,ALBERT_SE_KKW_BL_8H/MeterGas_1/AVERAGE_PREVIOUS_DAY_PRESSURE_DP(126.6:4);ALBERT_SE_KKW_BL_8H/MeterGas_1/AVERAGE_PREVIOUS_DAY_PRESSURE_STATIC(126.6:5);ALBERT_SE_KKW_BL_8H/MeterGas_1/AVERAGE_PREVIOUS_DAY_TEMPERATURE(126.6:6);ALBERT_SE_KKW_BL_8H/MeterGas_1/BTU_FACTOR(112.22:3);ALBERT_SE_KKW_BL_8H/MeterGas_1/SPECIFIC_GRAVITY(112.23:3);ALBERT_SE_KKW_BL_8H/MeterOil_1/DUMP_CURRENT_DAY(98.10:21);ALBERT_SE_KKW_BL_8H/MeterOil_1/DUMP_OFF_TIME(71.19:10);ALBERT_SE_KKW_BL_8H/MeterOil_1/DUMP_ON_TIME(71.7:10);ALBERT_SE_KKW_BL_8H/MeterOil_1/DUMP_PREVIOUS_DAY(98.11:21)
81 albert/wells/well_5;ALBERT_E_KKW_BL_10H,46,34,Needs work,ALBERT_E_KKW_BL_10H/MeterGas_1/AVERAGE_PREVIOUS_DAY_PRESSURE_DP(126.6:5);ALBERT_E_KKW_BL_10H/MeterGas_1/AVERAGE_PREVIOUS_DAY_PRESSURE_STATIC(126.6:6);ALBERT_E_KKW_BL_10H/MeterGas_1/AVERAGE_PREVIOUS_DAY_TEMPERATURE(126.6:7);ALBERT_E_KKW_BL_10H/MeterGas_1/BTU_FACTOR(112.22:4);ALBERT_E_KKW_BL_10H/MeterGas_1/ENERGY_PREVIOUS_DAY(114.30:4);ALBERT_E_KKW_BL_10H/MeterGas_1/MASS_PREVIOUS_DAY(114.25:4);ALBERT_E_KKW_BL_10H/MeterGas_1/PRESSURE_DP_CURRENT(113.26:4);ALBERT_E_KKW_BL_10H/MeterGas_1/PRESSURE_STATIC_CURRENT(113.28:4);ALBERT_E_KKW_BL_10H/MeterGas_1/RATE_ENERGY_DAILY(114.1:4);ALBERT_E_KKW_BL_10H/MeterGas_1/RATE_FLOW_DAILY(114.0:4);ALBERT_E_KKW_BL_10H/MeterGas_1/RATE_MASS_DAILY(114.34:4);ALBERT_E_KKW_BL_10H/MeterGas_1/SPECIFIC_GRAVITY(112.23:4);ALBERT_E_KKW_BL_10H/MeterGas_1/TEMPERATURE_CURRENT(113.30:4);ALBERT_E_KKW_BL_10H/MeterGas_1/TIME_FLOW_PREVIOUS_DAY(114.25:4);ALBERT_E_KKW_BL_10H/MeterGas_1/VOLUME_ACCUMULATED(114.23:4);ALBERT_E_KKW_BL_10H/MeterGas_1/VOLUME_CURRENT_DAY(114.19:4);ALBERT_E_KKW_BL_10H/MeterGas_1/VOLUME_PREVIOUS_DAY(114.20:4);ALBERT_E_KKW_BL_10H/MeterGas_2/AVERAGE_PREVIOUS_DAY_TEMPERATURE(126.6:4);ALBERT_E_KKW_BL_10H/MeterGas_2/SPECIFIC_GRAVITY(112.23:1);ALBERT_E_KKW_BL_10H/MeterOil_1/DUMP_CURRENT_DAY(98.10:22);ALBERT_E_KKW_BL_10H/MeterOil_1/DUMP_OFF_TIME(71.19:11);ALBERT_E_KKW_BL_10H/MeterOil_1/DUMP_ON_TIME(71.7:11);ALBERT_E_KKW_BL_10H/MeterOil_1/DUMP_PREVIOUS_DAY(98.11:22);ALBERT_E_KKW_BL_10H/MeterOil_1/PRESSURE_DP_CURRENT(98.4:4);ALBERT_E_KKW_BL_10H/MeterOil_1/PRESSURE_STATIC_CURRENT(98.3:4);ALBERT_E_KKW_BL_10H/MeterOil_1/RATE_FLOW_DAILY(98.1:4);ALBERT_E_KKW_BL_10H/MeterOil_1/VOLUME_CURRENT_DAY(98.6:4);ALBERT_E_KKW_BL_10H/MeterOil_1/VOLUME_PREVIOUS_DAY(98.7:4);ALBERT_E_KKW_BL_10H/MeterWater_1/RATE_FLOW_DAILY(98.12:4);ALBERT_E_KKW_BL_10H/MeterWater_1/VOLUME_CURRENT_DAY(98.14:4);ALBERT_E_KKW_BL_10H/MeterWater_1/VOLUME_PREVIOUS_DAY(98.15:4);ALBERT_E_KKW_BL_10H/WellIO_1/TOTAL_ACCUMULATED(98.10:0);ALBERT_E_KKW_BL_10H/WellIO_1/TOTAL_MONTH(98.8:0);ALBERT_E_KKW_BL_10H/WellIO_1/TOTAL_PREVIOUS_MONTH(98.9:0)
81 albright/pad;ALBRIGHT,61,39,Needs work,ALBRIGHT_UNIT_2H/MeterGas_1/BTU_FACTOR(0.0:0);ALBRIGHT_UNIT_2H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);ALBRIGHT_UNIT_4H/MeterGas_1/BTU_FACTOR(0.0:0);ALBRIGHT_UNIT_4H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);ALBRIGHT_UNIT_6H/MeterGas_1/BTU_FACTOR(0.0:0);ALBRIGHT_UNIT_6H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);ALBRIGHT/Device_1/VOLTAGE_BATTERY(109.12:1);ALBRIGHT/PadIO_1/PRESSURE_PIPELINE(3.14:43);ALBRIGHT_UNIT_2H/TankWater_1/HAULED_CURRENT_DAY(196.44:0);ALBRIGHT_UNIT_2H/TankWater_1/HAULED_PREVIOUS_DAY(196.46:0);ALBRIGHT_UNIT_2H/TankWater_1/LEVEL_INTERFACE(196.26:0);ALBRIGHT_UNIT_2H/TankWater_1/LEVEL_INTERFACE_INCHES(196.82:0);ALBRIGHT_UNIT_2H/TankWater_1/LEVEL_TOP(196.27:0);ALBRIGHT_UNIT_2H/TankWater_1/LEVEL_TOP_INCHES(196.83:0);ALBRIGHT_UNIT_2H/TankWater_1/PRODUCTION_CURRENT_DAY(196.40:0);ALBRIGHT_UNIT_2H/TankWater_1/PRODUCTION_PREVIOUS_DAY(196.42:0);ALBRIGHT_UNIT_2H/TankWater_1/VOLUME_OIL(196.30:0);ALBRIGHT_UNIT_2H/TankWater_1/VOLUME_WATER(196.31:0);ALBRIGHT_UNIT_4H/TankWater_1/HAULED_CURRENT_DAY(196.44:2);ALBRIGHT_UNIT_4H/TankWater_1/HAULED_PREVIOUS_DAY(196.46:2);ALBRIGHT_UNIT_4H/TankWater_1/LEVEL_INTERFACE(196.26:2);ALBRIGHT_UNIT_4H/TankWater_1/LEVEL_INTERFACE_INCHES(196.82:2);ALBRIGHT_UNIT_4H/TankWater_1/LEVEL_TOP(196.27:2);ALBRIGHT_UNIT_4H/TankWater_1/LEVEL_TOP_INCHES(196.83:2);ALBRIGHT_UNIT_4H/TankWater_1/PRODUCTION_CURRENT_DAY(196.40:2);ALBRIGHT_UNIT_4H/TankWater_1/PRODUCTION_PREVIOUS_DAY(196.42:2);ALBRIGHT_UNIT_4H/TankWater_1/VOLUME_OIL(196.30:2);ALBRIGHT_UNIT_4H/TankWater_1/VOLUME_WATER(196.31:2);ALBRIGHT_UNIT_4H/WellIO_1/STATUS_BURNER(1.2:35);ALBRIGHT_UNIT_6H/TankWater_1/HAULED_CURRENT_DAY(196.44:1);ALBRIGHT_UNIT_6H/TankWater_1/HAULED_PREVIOUS_DAY(196.46:1);ALBRIGHT_UNIT_6H/TankWater_1/LEVEL_INTERFACE(196.26:1);ALBRIGHT_UNIT_6H/TankWater_1/LEVEL_INTERFACE_INCHES(196.82:1);ALBRIGHT_UNIT_6H/TankWater_1/LEVEL_TOP(196.27:1);ALBRIGHT_UNIT_6H/TankWater_1/LEVEL_TOP_INCHES(196.83:1);ALBRIGHT_UNIT_6H/TankWater_1/PRODUCTION_CURRENT_DAY(196.40:1);ALBRIGHT_UNIT_6H/TankWater_1/PRODUCTION_PREVIOUS_DAY(196.42:1);ALBRIGHT_UNIT_6H/TankWater_1/VOLUME_OIL(196.30:1);ALBRIGHT_UNIT_6H/TankWater_1/VOLUME_WATER(196.31:1)
81 albright/wells/well_1;ALBRIGHT_UNIT_2H,19,12,Needs work,ALBRIGHT_UNIT_2H/MeterGas_1/BTU_FACTOR(0.0:0);ALBRIGHT_UNIT_2H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);ALBRIGHT_UNIT_2H/TankWater_1/HAULED_CURRENT_DAY(196.44:0);ALBRIGHT_UNIT_2H/TankWater_1/HAULED_PREVIOUS_DAY(196.46:0);ALBRIGHT_UNIT_2H/TankWater_1/LEVEL_INTERFACE(196.26:0);ALBRIGHT_UNIT_2H/TankWater_1/LEVEL_INTERFACE_INCHES(196.82:0);ALBRIGHT_UNIT_2H/TankWater_1/LEVEL_TOP(196.27:0);ALBRIGHT_UNIT_2H/TankWater_1/LEVEL_TOP_INCHES(196.83:0);ALBRIGHT_UNIT_2H/TankWater_1/PRODUCTION_CURRENT_DAY(196.40:0);ALBRIGHT_UNIT_2H/TankWater_1/PRODUCTION_PREVIOUS_DAY(196.42:0);ALBRIGHT_UNIT_2H/TankWater_1/VOLUME_OIL(196.30:0);ALBRIGHT_UNIT_2H/TankWater_1/VOLUME_WATER(196.31:0)
81 albright/wells/well_2;ALBRIGHT_UNIT_6H,19,12,Needs work,ALBRIGHT_UNIT_6H/MeterGas_1/BTU_FACTOR(0.0:0);ALBRIGHT_UNIT_6H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);ALBRIGHT_UNIT_6H/TankWater_1/HAULED_CURRENT_DAY(196.44:1);ALBRIGHT_UNIT_6H/TankWater_1/HAULED_PREVIOUS_DAY(196.46:1);ALBRIGHT_UNIT_6H/TankWater_1/LEVEL_INTERFACE(196.26:1);ALBRIGHT_UNIT_6H/TankWater_1/LEVEL_INTERFACE_INCHES(196.82:1);ALBRIGHT_UNIT_6H/TankWater_1/LEVEL_TOP(196.27:1);ALBRIGHT_UNIT_6H/TankWater_1/LEVEL_TOP_INCHES(196.83:1);ALBRIGHT_UNIT_6H/TankWater_1/PRODUCTION_CURRENT_DAY(196.40:1);ALBRIGHT_UNIT_6H/TankWater_1/PRODUCTION_PREVIOUS_DAY(196.42:1);ALBRIGHT_UNIT_6H/TankWater_1/VOLUME_OIL(196.30:1);ALBRIGHT_UNIT_6H/TankWater_1/VOLUME_WATER(196.31:1)
81 albright/wells/well_3;ALBRIGHT_UNIT_4H,18,13,Needs work,ALBRIGHT_UNIT_4H/MeterGas_1/BTU_FACTOR(0.0:0);ALBRIGHT_UNIT_4H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);ALBRIGHT_UNIT_4H/TankWater_1/HAULED_CURRENT_DAY(196.44:2);ALBRIGHT_UNIT_4H/TankWater_1/HAULED_PREVIOUS_DAY(196.46:2);ALBRIGHT_UNIT_4H/TankWater_1/LEVEL_INTERFACE(196.26:2);ALBRIGHT_UNIT_4H/TankWater_1/LEVEL_INTERFACE_INCHES(196.82:2);ALBRIGHT_UNIT_4H/TankWater_1/LEVEL_TOP(196.27:2);ALBRIGHT_UNIT_4H/TankWater_1/LEVEL_TOP_INCHES(196.83:2);ALBRIGHT_UNIT_4H/TankWater_1/PRODUCTION_CURRENT_DAY(196.40:2);ALBRIGHT_UNIT_4H/TankWater_1/PRODUCTION_PREVIOUS_DAY(196.42:2);ALBRIGHT_UNIT_4H/TankWater_1/VOLUME_OIL(196.30:2);ALBRIGHT_UNIT_4H/TankWater_1/VOLUME_WATER(196.31:2);ALBRIGHT_UNIT_4H/WellIO_1/STATUS_BURNER(1.2:35)
